,NAS _folder1,BioaccesioningId,SampleNaming,parentName,NAS_folder,group_name,imageGroupRid,rawImageKey,displayImageKey,title,imageMetadata,displayName,displayIdentifier,groupType,parentId,parentType,childId,childType,analyticId,analyticVersion,area,greenRing,greenAnnotation,redRing,redAnnotation,bftitle,redtitle,red_rawimagekey,greentitle,green_rawimagekey,title_0,title_1,title_2,title_3,parentId_check,title_5,6,well,channel,slice,row,column,WELL,s3_key,Day
3698,Trial 1 images by sample/,501281,501281/ – > Tx 501281 Trial 1,Tx 501281 Trial 1,Day3 Bright Field Only/,Establishment Day 3 BF Only,15b00b09-1496-489b-b6ce-80cc3c0c8a7c,s3://xilishub-production/aa10290b-6884-4f9e-8fb6-a9490cfe8f72.tiff,s3://xilishub-production/aa10290b-6884-4f9e-8fb6-a9490cfe8f72.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day3 Bright Field Only/Well_B5_Ch1_1um,{},Establishment Day 3 BF Only,establishment_day_3_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",15b00b09-1496-489b-b6ce-80cc3c0c8a7c,group,aa10290b-6884-4f9e-8fb6-a9490cfe8f72,images,detect-objects-with-threshold,1.0.1,406.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501281,Day3 Bright Field Only,Well_B5_Ch1_1um,B5,Ch1,1um,B,05,B05,aa10290b-6884-4f9e-8fb6-a9490cfe8f72.tiff,Day 03
4366,Trial 1 images by sample/,501281,501281/ – > Tx 501281 Trial 1,Tx 501281 Trial 1,Day4 Bright Field Only/,Establishment Day 4 BF Only,3dbf1c5a-8d67-412d-89ee-958d7f2ac029,s3://xilishub-production/1351b67b-6c4b-4fef-af44-049635dcba43.tiff,s3://xilishub-production/1351b67b-6c4b-4fef-af44-049635dcba43.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day4 Bright Field Only/Well_B6_Ch1_1um,{},Establishment Day 4 BF Only,establishment_day_4_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",3dbf1c5a-8d67-412d-89ee-958d7f2ac029,group,1351b67b-6c4b-4fef-af44-049635dcba43,images,detect-objects-with-threshold,1.0.1,1544.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501281,Day4 Bright Field Only,Well_B6_Ch1_1um,B6,Ch1,1um,B,06,B06,1351b67b-6c4b-4fef-af44-049635dcba43.tiff,Day 04
5321,Trial 1 images by sample/,501281,501281/ – > Tx 501281 Trial 1,Tx 501281 Trial 1,Day7 images/,Establishment Day 7,ff7fdb06-4b04-46d1-9ff7-3d606377cb72,s3://xilishub-production/6e13f7ab-8298-459b-b269-c602c8a7ac2e.tiff,s3://xilishub-production/6e13f7ab-8298-459b-b269-c602c8a7ac2e.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day7 Live_Dead/Well_B9_Ch3_1um,{},Establishment Day 7,establishment_day_7,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",ff7fdb06-4b04-46d1-9ff7-3d606377cb72,group,6e13f7ab-8298-459b-b269-c602c8a7ac2e,images,detect-objects-with-threshold,1.0.1,760.5,347900.0,206655.0,195478.0,81493.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day7 LiveDead/Well_B9_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day7 LiveDead/Well_B9_Ch2_1um,s3://xilishub-production/75c9556d-2e1e-44a7-886e-28d8be3fd6a2-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day7 LiveDead/Well_B9_Ch1_1um,s3://xilishub-production/e556b22c-4e62-40ba-97ad-9963e38499fa-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501281,Day7 Live_Dead,Well_B9_Ch3_1um,B9,Ch3,1um,B,09,B09,6e13f7ab-8298-459b-b269-c602c8a7ac2e.tiff,Day 07
6282,Trial 1 images by sample/,501281,501281/ – > Tx 501281 Trial 1,Tx 501281 Trial 1,Day8 Images/,Establishment Day 8,b3570153-3037-4a5a-91cc-59bbff563fa9,s3://xilishub-production/167733fe-5440-4356-bff9-c12af0b5bc15.tiff,s3://xilishub-production/167733fe-5440-4356-bff9-c12af0b5bc15.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day8 Live_Dead/Well_B10_Ch3_1um,{},Establishment Day 8,establishment_day_8,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",b3570153-3037-4a5a-91cc-59bbff563fa9,group,167733fe-5440-4356-bff9-c12af0b5bc15,images,detect-objects-with-threshold,1.0.1,2378.5,133317.0,243680.0,188804.0,112029.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day8 LiveDead/Well_B10_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day8 LiveDead/Well_B10_Ch2_1um,s3://xilishub-production/7cfbdbb6-80f0-489d-8ce2-86d58f349e00-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day8 LiveDead/Well_B10_Ch1_1um,s3://xilishub-production/63a7546a-3b4d-42f0-b4ac-eaafd3a48865-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501281,Day8 Live_Dead,Well_B10_Ch3_1um,B10,Ch3,1um,B,10,B10,167733fe-5440-4356-bff9-c12af0b5bc15.tiff,Day 08
7174,Trial 1 images by sample/,501281,501281/ – > Tx 501281 Trial 1,Tx 501281 Trial 1,Day9 images/,Establishment Day 9,395e558a-8b21-48a2-ba11-cec63ef012ed,s3://xilishub-production/5691b65c-8e1d-449e-81b0-e4dcd0d17fdd.tiff,s3://xilishub-production/5691b65c-8e1d-449e-81b0-e4dcd0d17fdd.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day9 Live_Dead/Well_B11_Ch3_1um,{},Establishment Day 9,establishment_day_9,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",395e558a-8b21-48a2-ba11-cec63ef012ed,group,5691b65c-8e1d-449e-81b0-e4dcd0d17fdd,images,detect-objects-with-threshold,1.0.1,268.0,74732.0,3862.0,115438.0,5887.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day9 LiveDead/Well_B11_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day9 LiveDead/Well_B11_Ch2_1um,s3://xilishub-production/7c9193fd-650e-457e-a9cf-2679a345290a-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day9 LiveDead/Well_B11_Ch1_1um,s3://xilishub-production/91ab458f-b57c-47a8-824c-b21ce40c4001-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501281,Day9 Live_Dead,Well_B11_Ch3_1um,B11,Ch3,1um,B,11,B11,5691b65c-8e1d-449e-81b0-e4dcd0d17fdd.tiff,Day 09
7746,Trial 1 images by sample/,501281,501281/ – > Tx 501281 Trial 1,Tx 501281 Trial 1,Day10 Images/,Establishment Day 10,c11feb60-e249-4a60-be47-f5af8196cdcb,s3://xilishub-production/fac6baae-0ba9-4cb3-accf-c5d08e83aa88.tiff,s3://xilishub-production/fac6baae-0ba9-4cb3-accf-c5d08e83aa88.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day10 Live_Dead/Well_B12_Ch3_1um,{},Establishment Day 10,establishment_day_10,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",c11feb60-e249-4a60-be47-f5af8196cdcb,group,fac6baae-0ba9-4cb3-accf-c5d08e83aa88,images,detect-objects-with-threshold,1.0.1,1627.5,102951.0,113557.0,102821.0,40811.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day10 LiveDead/Well_B12_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day10 LiveDead/Well_B12_Ch2_1um,s3://xilishub-production/05e22788-6c6c-40b1-b6fc-31b335980f79-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day10 LiveDead/Well_B12_Ch1_1um,s3://xilishub-production/4d80396d-0a62-4481-8ba6-3ff8123799d0-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501281,Day10 Live_Dead,Well_B12_Ch3_1um,B12,Ch3,1um,B,12,B12,fac6baae-0ba9-4cb3-accf-c5d08e83aa88.tiff,Day 10
8500,Trial 1 images by sample/,501297,501297/ – > Tx 501297 Trial 1,Tx 501297 Trial 1,Day0 Bright Field Only/,Establishment Day 0 BF Only,9c1abeaf-50fb-414d-9e69-ea2b3bc8bcf7,s3://xilishub-production/6c0095fb-39f9-40ce-bd88-7a55c2df3222.tiff,s3://xilishub-production/6c0095fb-39f9-40ce-bd88-7a55c2df3222.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day0 Bright Field Only/Well_C2_Ch1_1um,{},Establishment Day 0 BF Only,establishment_day_0_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",9c1abeaf-50fb-414d-9e69-ea2b3bc8bcf7,group,6c0095fb-39f9-40ce-bd88-7a55c2df3222,images,detect-objects-with-threshold,1.0.1,1312.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501297,Day0 Bright Field Only,Well_C2_Ch1_1um,C2,Ch1,1um,C,02,C02,6c0095fb-39f9-40ce-bd88-7a55c2df3222.tiff,Day 00
8575,Trial 1 images by sample/,501297,501297/ – > Tx 501297 Trial 1,Tx 501297 Trial 1,Day1 Bright Field Only/,Establishment Day 1 BF Only,0d775b2e-5206-4f7e-8bb3-3f86175e5259,s3://xilishub-production/04a1ee58-e1da-4c75-bbc2-35a9d83386e7.tiff,s3://xilishub-production/04a1ee58-e1da-4c75-bbc2-35a9d83386e7.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day1 Bright Field Only/Well_C3_Ch1_1um,{},Establishment Day 1 BF Only,establishment_day_1_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",0d775b2e-5206-4f7e-8bb3-3f86175e5259,group,04a1ee58-e1da-4c75-bbc2-35a9d83386e7,images,detect-objects-with-threshold,1.0.1,486.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501297,Day1 Bright Field Only,Well_C3_Ch1_1um,C3,Ch1,1um,C,03,C03,04a1ee58-e1da-4c75-bbc2-35a9d83386e7.tiff,Day 01
8720,Trial 1 images by sample/,501297,501297/ – > Tx 501297 Trial 1,Tx 501297 Trial 1,Day2 Bright Field Only/,Establishment Day 2 BF Only,45dd2042-a99a-42bd-9a75-7d0dabd947ca,s3://xilishub-production/328a33e3-ac11-4e30-87cd-e369a784e561.tiff,s3://xilishub-production/328a33e3-ac11-4e30-87cd-e369a784e561.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day2 Bright Field Only/Well_C4_Ch1_1um,{},Establishment Day 2 BF Only,establishment_day_2_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",45dd2042-a99a-42bd-9a75-7d0dabd947ca,group,328a33e3-ac11-4e30-87cd-e369a784e561,images,detect-objects-with-threshold,1.0.1,2568.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501297,Day2 Bright Field Only,Well_C4_Ch1_1um,C4,Ch1,1um,C,04,C04,328a33e3-ac11-4e30-87cd-e369a784e561.tiff,Day 02
9011,Trial 1 images by sample/,501297,501297/ – > Tx 501297 Trial 1,Tx 501297 Trial 1,Day3 Bright Field Only/,Establishment Day 3 BF Only,3466a2fa-83b7-40e2-8314-450f5de26a1d,s3://xilishub-production/b0f42283-6f90-4e4e-9098-b9884f34eb9c.tiff,s3://xilishub-production/b0f42283-6f90-4e4e-9098-b9884f34eb9c.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day3 Bright Field Only/Well_C5_Ch1_1um,{},Establishment Day 3 BF Only,establishment_day_3_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",3466a2fa-83b7-40e2-8314-450f5de26a1d,group,b0f42283-6f90-4e4e-9098-b9884f34eb9c,images,detect-objects-with-threshold,1.0.1,550.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501297,Day3 Bright Field Only,Well_C5_Ch1_1um,C5,Ch1,1um,C,05,C05,b0f42283-6f90-4e4e-9098-b9884f34eb9c.tiff,Day 03
